referral_id,referrer_user_id,referral_channel,referral_sent_date,referral_status,referral_accepted_date,reward_granted
R316_2,316,WhatsApp,2024-09-08,Pending,,
R316_3,316,Team Invite,2024-09-27,Pending,,
R316_4,316,Instagram DM,2024-09-04,Pending,,
R317_0,317,Link,2024-10-14,Pending,,
R317_1,317,Email,2024-09-25,Accepted,2024-10-01,Credit Pack
R317_2,317,Email,2024-11-02,Accepted,2024-11-06,1 month Pro
R317_3,317,Link,2024-11-05,Accepted,2024-11-09,Template Unlock
R324_0,324,Team Invite,2024-12-12,Accepted,2024-12-13,Credit Pack
R327_0,327,Link,2024-04-03,Accepted,2024-04-22,Credit Pack
R327_1,327,Team Invite,2024-04-23,Pending,,
R327_2,327,Link,2024-04-22,Accepted,2024-04-29,Credit Pack
R327_3,327,Link,2024-05-02,Pending,,
R327_4,327,Email,2024-05-10,Accepted,2024-05-16,1 month Pro
R330_0,330,WhatsApp,2024-09-02,Pending,,
R330_1,330,Email,2024-07-25,Pending,,
R330_2,330,Team Invite,2024-07-26,Accepted,2024-08-02,Template Unlock
R331_0,331,Email,2024-08-26,Accepted,2024-09-13,1 month Pro
R331_1,331,Link,2024-07-27,Accepted,2024-07-29,Credit Pack
R331_2,331,Email,2024-08-10,Accepted,2024-08-23,Template Unlock
R331_3,331,WhatsApp,2024-08-01,Accepted,2024-08-12,Credit Pack
R331_4,331,Team Invite,2024-07-24,Accepted,2024-07-26,Template Unlock
R339_0,339,WhatsApp,2024-03-31,Pending,,
R339_1,339,WhatsApp,2024-04-25,Pending,,
R339_2,339,WhatsApp,2024-04-07,Pending,,
R347_0,347,Instagram DM,2025-02-03,Pending,,
R347_1,347,Link,2025-01-12,Pending,,
R347_2,347,Link,2025-01-08,Accepted,2025-01-10,1 month Pro
R347_3,347,Link,2025-01-30,Accepted,2025-02-04,1 month Pro
R349_0,349,WhatsApp,2024-03-31,Accepted,2024-04-08,1 month Pro
R349_1,349,WhatsApp,2024-03-16,Pending,,
R349_2,349,Email,2024-03-24,Accepted,2024-04-03,1 month Pro
R349_3,349,Email,2024-03-19,Pending,,
R352_0,352,Link,2024-02-01,Pending,,
R352_1,352,WhatsApp,2024-02-12,Pending,,
R352_2,352,Link,2024-02-14,Accepted,2024-02-20,1 month Pro
R354_0,354,Link,2024-06-14,Accepted,2024-06-15,Template Unlock
R354_1,354,Link,2024-07-18,Accepted,2024-07-24,Template Unlock
R354_2,354,WhatsApp,2024-07-13,Accepted,2024-07-16,1 month Pro
R354_3,354,Link,2024-06-11,Pending,,
R354_4,354,Email,2024-06-16,Accepted,2024-06-18,1 month Pro
R356_0,356,Email,2025-01-29,Pending,,
R356_1,356,Email,2025-01-21,Accepted,2025-02-04,1 month Pro
R361_0,361,Link,2024-11-06,Accepted,2024-11-22,Credit Pack
R361_1,361,Link,2024-11-06,Pending,,
R362_0,362,Email,2024-12-09,Pending,,
R362_1,362,WhatsApp,2024-12-31,Accepted,2025-01-19,Credit Pack
R362_2,362,Link,2025-01-03,Accepted,2025-01-22,Credit Pack
R362_3,362,Link,2024-12-02,Accepted,2024-12-04,Credit Pack
R364_0,364,Email,2024-12-01,Pending,,
R364_1,364,Link,2025-01-03,Accepted,2025-01-13,Credit Pack
R364_2,364,Email,2024-12-13,Pending,,
R364_3,364,Link,2024-12-22,Accepted,2025-01-05,Credit Pack
R369_0,369,Email,2024-01-17,Accepted,2024-01-27,1 month Pro
R369_1,369,Link,2024-01-22,Pending,,
R369_2,369,WhatsApp,2024-02-21,Pending,,
R369_3,369,Link,2024-02-05,Pending,,
R369_4,369,Instagram DM,2024-01-25,Pending,,
R383_0,383,Email,2025-01-14,Pending,,
R383_1,383,Email,2025-01-08,Accepted,2025-01-26,1 month Pro
R383_2,383,Link,2025-01-17,Pending,,
R386_0,386,Link,2024-03-10,Accepted,2024-03-18,Credit Pack
R403_0,403,Link,2024-05-26,Pending,,
R403_1,403,Instagram DM,2024-05-09,Pending,,
R405_0,405,WhatsApp,2024-07-23,Pending,,
R405_1,405,Email,2024-07-07,Pending,,
R405_2,405,WhatsApp,2024-07-15,Accepted,2024-07-31,Template Unlock
R405_3,405,Email,2024-08-14,Accepted,2024-08-28,1 month Pro
R405_4,405,Email,2024-08-08,Accepted,2024-08-10,Template Unlock
R407_0,407,Instagram DM,2024-07-04,Accepted,2024-07-14,1 month Pro
R407_1,407,Team Invite,2024-07-01,Pending,,
R407_2,407,WhatsApp,2024-07-08,Accepted,2024-07-16,Credit Pack
R410_0,410,Link,2024-01-11,Accepted,2024-01-29,Credit Pack
R410_1,410,Link,2024-02-18,Accepted,2024-03-06,Credit Pack
R410_2,410,WhatsApp,2024-01-27,Pending,,
R413_0,413,Link,2024-05-06,Pending,,
R413_1,413,Link,2024-05-08,Pending,,
R423_0,423,WhatsApp,2024-11-12,Accepted,2024-11-17,1 month Pro
R423_1,423,Email,2024-11-13,Accepted,2024-11-24,1 month Pro
R423_2,423,Email,2024-11-05,Pending,,
R423_3,423,Instagram DM,2024-11-18,Accepted,2024-12-04,1 month Pro
R439_0,439,Link,2024-02-06,Pending,,
R439_1,439,Team Invite,2024-02-20,Accepted,2024-03-02,Credit Pack
R444_0,444,Team Invite,2024-07-31,Accepted,2024-08-02,Template Unlock
R444_1,444,Link,2024-07-31,Accepted,2024-08-11,1 month Pro
R448_0,448,Team Invite,2025-01-10,Pending,,
R448_1,448,Email,2024-12-28,Accepted,2025-01-12,1 month Pro
R448_2,448,Instagram DM,2025-01-08,Accepted,2025-01-18,Credit Pack
R452_0,452,Link,2024-12-13,Pending,,
R455_0,455,Instagram DM,2024-08-11,Accepted,2024-08-19,1 month Pro
R455_1,455,WhatsApp,2024-08-10,Accepted,2024-08-15,1 month Pro
R462_0,462,WhatsApp,2024-02-28,Accepted,2024-03-13,1 month Pro
R462_1,462,Team Invite,2024-03-22,Accepted,2024-04-09,Credit Pack
R462_2,462,WhatsApp,2024-02-29,Pending,,
R466_0,466,Link,2025-01-22,Pending,,
R466_1,466,Link,2025-01-02,Accepted,2025-01-21,Template Unlock
R466_2,466,Link,2024-12-27,Accepted,2025-01-08,Template Unlock
R480_0,480,WhatsApp,2024-02-17,Pending,,
R480_1,480,Link,2024-03-15,Accepted,2024-03-20,1 month Pro
R480_2,480,Instagram DM,2024-03-18,Pending,,
R480_3,480,WhatsApp,2024-03-19,Pending,,
R480_4,480,WhatsApp,2024-03-22,Pending,,
R499_0,499,Team Invite,2024-12-07,Pending,,
R506_0,506,Team Invite,2024-07-23,Pending,,
R508_0,508,Team Invite,2024-04-24,Accepted,2024-05-01,Template Unlock
R508_1,508,WhatsApp,2024-04-22,Accepted,2024-04-30,1 month Pro
R512_0,512,Link,2024-11-06,Accepted,2024-11-16,Credit Pack
R514_0,514,Instagram DM,2024-12-04,Accepted,2024-12-11,Template Unlock
R514_1,514,WhatsApp,2024-11-17,Accepted,2024-11-22,1 month Pro
R520_0,520,WhatsApp,2024-09-09,Accepted,2024-09-25,Template Unlock
R523_0,523,WhatsApp,2024-03-16,Accepted,2024-03-19,1 month Pro
R527_0,527,Link,2025-01-12,Pending,,
R527_1,527,Email,2024-12-05,Accepted,2024-12-10,Credit Pack
R527_2,527,WhatsApp,2024-12-20,Accepted,2024-12-22,1 month Pro
R527_3,527,WhatsApp,2025-01-04,Pending,,
R527_4,527,Link,2024-12-29,Accepted,2025-01-11,Credit Pack
R528_0,528,Instagram DM,2024-03-31,Accepted,2024-04-05,1 month Pro
R559_0,559,WhatsApp,2024-11-23,Pending,,
R559_1,559,Team Invite,2024-10-18,Pending,,
R559_2,559,Email,2024-11-15,Accepted,2024-12-04,1 month Pro
R559_3,559,Link,2024-10-31,Accepted,2024-11-02,Template Unlock
R565_0,565,Instagram DM,2024-11-23,Pending,,
R565_1,565,Email,2024-12-23,Accepted,2024-12-26,Template Unlock
R565_2,565,Link,2024-12-26,Accepted,2024-12-29,1 month Pro
R565_3,565,WhatsApp,2024-11-27,Accepted,2024-12-10,Credit Pack
R565_4,565,Link,2024-12-19,Accepted,2025-01-05,Template Unlock
R566_0,566,Instagram DM,2024-04-15,Pending,,
R566_1,566,Email,2024-04-01,Accepted,2024-04-13,Credit Pack
R566_2,566,Email,2024-05-07,Accepted,2024-05-12,1 month Pro
R566_3,566,Link,2024-04-01,Pending,,
R581_0,581,Email,2024-02-22,Accepted,2024-02-23,1 month Pro
R581_1,581,WhatsApp,2024-02-11,Pending,,
R586_0,586,Link,2024-12-23,Pending,,
R586_1,586,Email,2024-12-07,Accepted,2024-12-09,Template Unlock
R586_2,586,Team Invite,2024-12-31,Pending,,
R587_0,587,Email,2024-09-28,Pending,,
R592_0,592,WhatsApp,2024-12-16,Pending,,
R597_0,597,Email,2024-08-29,Pending,,
R597_1,597,Instagram DM,2024-08-09,Accepted,2024-08-15,Credit Pack
R597_2,597,Link,2024-09-10,Accepted,2024-09-21,1 month Pro
R597_3,597,Instagram DM,2024-08-12,Accepted,2024-08-27,Credit Pack
R598_0,598,Email,2024-11-16,Accepted,2024-12-05,1 month Pro
R598_1,598,Link,2024-10-14,Pending,,
R601_0,601,Email,2024-09-13,Accepted,2024-09-14,Credit Pack
R601_1,601,Instagram DM,2024-09-12,Accepted,2024-09-23,1 month Pro
R601_2,601,Link,2024-09-18,Accepted,2024-09-19,Credit Pack
R603_0,603,Link,2024-10-14,Accepted,2024-10-23,1 month Pro
R603_1,603,WhatsApp,2024-10-01,Accepted,2024-10-05,Template Unlock
R603_2,603,Link,2024-10-06,Accepted,2024-10-20,1 month Pro
R604_0,604,Link,2024-03-03,Accepted,2024-03-16,Credit Pack
R604_1,604,Link,2024-02-21,Accepted,2024-02-24,1 month Pro
R604_2,604,Link,2024-03-28,Accepted,2024-04-13,1 month Pro
R605_0,605,Email,2024-12-06,Accepted,2024-12-11,1 month Pro
R606_0,606,Link,2024-08-24,Pending,,
R606_1,606,Link,2024-08-17,Pending,,
R606_2,606,Instagram DM,2024-07-16,Accepted,2024-07-28,1 month Pro
R606_3,606,Link,2024-08-03,Accepted,2024-08-12,1 month Pro
R614_0,614,WhatsApp,2024-06-23,Pending,,
R614_1,614,WhatsApp,2024-06-03,Accepted,2024-06-14,Template Unlock
R614_2,614,Link,2024-06-20,Pending,,
R614_3,614,Link,2024-06-10,Accepted,2024-06-17,1 month Pro
R614_4,614,Link,2024-06-08,Accepted,2024-06-14,1 month Pro
R616_0,616,Link,2024-09-30,Pending,,
R616_1,616,Email,2024-09-08,Pending,,
R616_2,616,Instagram DM,2024-09-22,Accepted,2024-09-25,Credit Pack
R619_0,619,WhatsApp,2024-02-27,Accepted,2024-03-01,1 month Pro
R619_1,619,Team Invite,2024-02-16,Pending,,
R627_0,627,WhatsApp,2024-05-22,Pending,,
R627_1,627,Link,2024-06-01,Accepted,2024-06-09,1 month Pro
R628_0,628,Link,2024-06-26,Pending,,
R628_1,628,Link,2024-06-23,Accepted,2024-07-05,1 month Pro
R628_2,628,Link,2024-06-23,Accepted,2024-06-28,1 month Pro
R629_0,629,Email,2024-07-16,Accepted,2024-07-31,1 month Pro
R629_1,629,WhatsApp,2024-07-24,Accepted,2024-08-08,1 month Pro
R629_2,629,Link,2024-07-30,Accepted,2024-08-11,1 month Pro
R643_0,643,Link,2024-11-13,Accepted,2024-11-16,Credit Pack
R643_1,643,WhatsApp,2024-11-13,Pending,,
R643_2,643,WhatsApp,2024-12-10,Pending,,
R643_3,643,Instagram DM,2024-11-19,Pending,,
R643_4,643,Link,2024-11-22,Accepted,2024-12-02,Template Unlock
R649_0,649,Instagram DM,2025-01-14,Accepted,2025-01-29,1 month Pro
R649_1,649,Email,2024-12-21,Pending,,
R652_0,652,Email,2024-10-02,Accepted,2024-10-21,1 month Pro
R657_0,657,Link,2024-10-19,Pending,,
R657_1,657,Instagram DM,2024-10-11,Pending,,
R657_2,657,Instagram DM,2024-10-27,Pending,,
R668_0,668,Link,2024-11-27,Pending,,
R668_1,668,Email,2024-12-12,Accepted,2024-12-26,1 month Pro
R673_0,673,Link,2024-09-24,Pending,,
R676_0,676,Instagram DM,2024-10-22,Accepted,2024-10-23,Credit Pack
R676_1,676,Instagram DM,2024-10-11,Pending,,
R680_0,680,Instagram DM,2025-01-18,Accepted,2025-01-24,1 month Pro
R680_1,680,WhatsApp,2024-12-26,Accepted,2025-01-02,Template Unlock
R694_0,694,Email,2025-01-21,Accepted,2025-02-05,Credit Pack
R694_1,694,Link,2025-01-07,Pending,,
R694_2,694,WhatsApp,2025-01-09,Accepted,2025-01-16,Template Unlock
R694_3,694,Link,2024-12-27,Pending,,
R694_4,694,WhatsApp,2024-12-25,Accepted,2025-01-01,1 month Pro
R698_0,698,Email,2024-09-11,Accepted,2024-09-25,Template Unlock
R698_1,698,WhatsApp,2024-08-11,Pending,,
R698_2,698,Link,2024-08-14,Accepted,2024-08-17,1 month Pro
R698_3,698,Link,2024-08-06,Pending,,
R699_0,699,Link,2024-02-11,Accepted,2024-02-28,1 month Pro
R699_1,699,Link,2024-02-15,Pending,,
R699_2,699,Link,2024-03-02,Pending,,
R699_3,699,Link,2024-02-23,Accepted,2024-03-08,1 month Pro
R699_4,699,Team Invite,2024-02-06,Accepted,2024-02-17,1 month Pro
R708_0,708,Team Invite,2024-07-31,Accepted,2024-08-12,1 month Pro
R710_0,710,Team Invite,2024-07-28,Pending,,
R710_1,710,Instagram DM,2024-07-06,Pending,,
R710_2,710,Team Invite,2024-07-23,Accepted,2024-07-24,Credit Pack
R710_3,710,Email,2024-07-02,Accepted,2024-07-16,Template Unlock
R710_4,710,Team Invite,2024-07-21,Pending,,
R711_0,711,Instagram DM,2024-09-08,Pending,,
R711_1,711,Instagram DM,2024-09-07,Accepted,2024-09-10,Credit Pack
R724_0,724,Link,2024-02-29,Accepted,2024-03-14,1 month Pro
R727_0,727,Link,2024-09-23,Pending,,
R729_0,729,Instagram DM,2024-08-01,Pending,,
R729_1,729,Link,2024-07-25,Pending,,
R729_2,729,Email,2024-07-19,Pending,,
R729_3,729,Link,2024-07-07,Accepted,2024-07-18,1 month Pro
R729_4,729,Link,2024-07-04,Accepted,2024-07-18,1 month Pro
R738_0,738,Instagram DM,2024-06-13,Accepted,2024-06-23,1 month Pro
R743_0,743,Link,2024-08-31,Accepted,2024-09-17,1 month Pro
R743_1,743,WhatsApp,2024-09-26,Pending,,
R743_2,743,Link,2024-09-06,Accepted,2024-09-16,Credit Pack
R743_3,743,WhatsApp,2024-08-30,Pending,,
R748_0,748,WhatsApp,2024-05-27,Pending,,
R752_0,752,Instagram DM,2024-04-05,Pending,,
R755_0,755,Instagram DM,2024-07-31,Accepted,2024-08-15,1 month Pro
R755_1,755,Email,2024-07-26,Accepted,2024-08-08,Template Unlock
R755_2,755,WhatsApp,2024-07-31,Accepted,2024-08-03,Template Unlock
R758_0,758,Email,2024-06-05,Accepted,2024-06-19,Template Unlock
R758_1,758,Link,2024-05-25,Pending,,
R758_2,758,WhatsApp,2024-06-03,Accepted,2024-06-06,1 month Pro
R763_0,763,WhatsApp,2025-01-11,Pending,,
R763_1,763,Link,2024-12-28,Accepted,2025-01-06,1 month Pro
R764_0,764,Link,2024-12-13,Pending,,
R764_1,764,WhatsApp,2024-12-18,Pending,,
R764_2,764,WhatsApp,2024-12-28,Pending,,
R771_0,771,Link,2024-10-06,Pending,,
R771_1,771,Link,2024-08-29,Pending,,
R771_2,771,Link,2024-08-30,Accepted,2024-09-14,1 month Pro
R771_3,771,Instagram DM,2024-09-27,Accepted,2024-10-12,1 month Pro
R771_4,771,Link,2024-09-20,Pending,,
R773_0,773,Instagram DM,2024-02-03,Accepted,2024-02-04,Template Unlock
R773_1,773,Team Invite,2024-02-13,Pending,,
R773_2,773,Team Invite,2024-02-15,Pending,,
R777_0,777,Link,2024-07-16,Accepted,2024-07-28,1 month Pro
R777_1,777,Instagram DM,2024-06-23,Pending,,
R777_2,777,Link,2024-06-21,Accepted,2024-07-01,1 month Pro
R777_3,777,WhatsApp,2024-06-21,Pending,,
R777_4,777,Link,2024-06-25,Pending,,
R782_0,782,Email,2024-09-15,Accepted,2024-09-17,Credit Pack
R782_1,782,WhatsApp,2024-09-15,Pending,,
R782_2,782,Email,2024-09-28,Accepted,2024-10-11,Credit Pack
R782_3,782,WhatsApp,2024-09-13,Accepted,2024-09-17,1 month Pro
R782_4,782,Email,2024-09-10,Accepted,2024-09-21,1 month Pro
R785_0,785,Email,2024-06-27,Pending,,
R785_1,785,Link,2024-07-14,Accepted,2024-07-20,Credit Pack
R788_0,788,Email,2024-09-23,Accepted,2024-09-28,1 month Pro
R788_1,788,Link,2024-09-28,Accepted,2024-10-15,Credit Pack
R795_0,795,WhatsApp,2024-06-09,Accepted,2024-06-11,Template Unlock
R795_1,795,Link,2024-07-02,Pending,,
R795_2,795,Link,2024-06-14,Accepted,2024-06-23,1 month Pro
R795_3,795,Team Invite,2024-07-01,Pending,,
R799_0,799,Link,2024-06-08,Accepted,2024-06-21,1 month Pro
R799_1,799,Link,2024-05-03,Accepted,2024-05-08,Template Unlock
R799_2,799,Team Invite,2024-05-31,Accepted,2024-06-07,Template Unlock
R799_3,799,Link,2024-06-03,Pending,,
R805_0,805,Instagram DM,2024-10-24,Accepted,2024-11-04,Template Unlock
R805_1,805,WhatsApp,2024-11-05,Pending,,
